Id,Designator,Package,Quantity,Designation,partsbox
1,U1,MSOP-10-1EP_3x3mm_Pitch0.5mm,1,LT3757,x
2,L1,Inductor_Wurth_HCI-1890,1,2.4µH,x
3,"C2,C1,C3,C4,C5",CP_Elec_10x10.5,5,120µ,x
4,R6,WSLP2726,1,2m,x
5,"C6,C13,C14,C17",C_0603_HandSoldering,4,100n,x
6,C7,C_0603_HandSoldering,1,(2n2),x
7,C8,C_0603_HandSoldering,1,100p,x
8,C9,C_0805_HandSoldering,1,4µ7,x
9,C10,C_0603_HandSoldering,1,6n8,x
10,C11,C_0603_HandSoldering,1,(470p),x
11,C12,C_0603_HandSoldering,1,1µ,x
12,C15,C_0603_HandSoldering,1,47n,x
13,C16,C_0603_HandSoldering,1,10n,x
14,D1,TO-263-3Lead,1,VS-42CTQ030S-M3,x
15,J2,Measurement_Point_Round-SMD-Pad_Small,1,Enable,
16,Q1,TO-263-3Lead,1,FDB86566,x
17,R1,R_0603_HandSoldering,1,200k,x
18,R2,R_0603_HandSoldering,1,43k2,x
19,R3,R_0603_HandSoldering,1,226k,x
20,R4,R_0603_HandSoldering,1,(22),x
21,R5,R_0603_HandSoldering,1,10k5,x
22,R7,R_0603_HandSoldering,1,16k2,x
23,R8,R_0603_HandSoldering,1,22k,x
24,"J1,J9",MountingHole_3.2mm_M3_Pad,2,GND,
25,J3,MountingHole_3.2mm_M3_Pad,1,BAT,
26,J4,MountingHole_3.2mm_M3_Pad,1,24V,
27,"J5,J6,J7,J8",MountingHole_3.2mm_M3_Pad,4,M3,
28,"TP1,TP2",Measurement_Point_Round-SMD-Pad_Small,2,FBX,
