Id,Designator,Package,Quantity,Designation,partsbox,,,
1,"FL101,FL102",WE-SL5,2,744272471,x,,,
2,"C101,C104,C108,C503,C505",C_0805,5,10µ,x,,,
3,C102,C_1206,1,47µ,x,!,Ersatz:,2x C3216X5R1V226M160AC
4,"C105,C107,C302,C304,C305,C306,C308,C309,C310,C311,C312,C315,C504,C701,C702,C801,C802,C803,C901,C902,C1002,C109",C_0603,22,100n,x,,,
5,C106,C_0805,1,470n,x,,,
6,C201,C_1206,1,10µ/40V,x,,35V,
7,C202,C_0805,1,1µ/40V,x,,50V,
8,"C203,C204",C_0603,2,22n,x,,,
9,"C205,C303,C314,C1001",C_0603,4,1µ,x,,,
10,C206,C_1812_HandSoldering,1,100µ/10V,x,,,
11,"C301,C307,C1003",C_0603,3,4µ7,x,,,
12,C313,C_0603,1,47µ,x,!,4u7,
13,"C316,C317,C318",C_0603,3,100p,x,,,
14,C501,C_0603,1,68n,x,,,
15,C502,C_0603,1,33n,x,,,
16,"C1101,C1102,C1103,C1104,C1105,C1106,C1107,C1108,C1109,C1110,C1111,C1112,C1113,C1114,C1115,C1116",C_0603,16,220n,x,,,
17,"D301,D302",LED_0603,2,LED,x,,Red & Yellow,
18,D303,D_SMB_Handsoldering,1,Vishay LVB14A 13.2V,x,,,
19,"D304,D305,D306",D_SMB_Handsoldering,3,SMBJ40CA,x,,,
20,D501,D_SMB_Handsoldering,1,MBRS360BT3G,x,,,
21,"D701,D702",SOT-23,2,ESD,x,,"PESD1CAN,215",
22,D1001,D_SMA_Handsoldering,1,MBRA140T3,x,,,
23,J102,Pin_Header_Straight_2x20_Pitch2.54mm,1,Powerboard <-> Mainboard,x,,,
24,J105,MountingHole_3.2mm_M3_Pad_Via,1,BOOST,n,,,
25,J106,Pin_Header_Straight_1x01_Pitch2.54mm,1,Boost24V_EN,x,,,
26,J107,MountingHole_3.2mm_M3_Pad_Via,1,24V_1,n,,,
27,J108,MountingHole_3.2mm_M3_Pad_Via,1,24V_2,n,,,
28,J109,MountingHole_3.2mm_M3_Pad_Via,1,24V_3,n,,,
29,J110,MountingHole_3.2mm_M3_Pad_Via,1,BAT,n,,,
30,J111,MountingHole_3.2mm_M3_Pad_Via,1,GND,n,,,
31,"L301,L302,L303",L_1812,3,742792515,x,,Zusätzlich: WE 74279244,
32,P501,Pin_Header_Straight_1x02_Pitch2.54mm,1,10k NTC,x,,Vishay NTCLE100E3223HB0,
33,Q101,TO-263-3Lead,1,SQM40031EL,x,,,
34,"Q102,Q104,Q501",SOT-23,3,DMN6140L,x,,,
35,Q502,SOT-23,1,PMV27UPE,x,,,
36,Q503,SOIC-8_3.9x4.9mm_Pitch1.27mm,1,IRF7343PBF,x,,,
37,"Q801,Q802,Q803",SOT-669_LFPAK,3,BUK7Y4R8-60E,x,,,
38,"R101,R103,R502,R503,R504,R505,R701,R801,R802,R803,R125,R126,R807,R808,R809",R_0603,15,10k,x,,,
39,R102,R_0603,1,20k,x,,,
40,R104,R_0603,1,91k,x,,,
41,R105,R_0603,1,13k,x,,,
42,"R106,R108,R113",R_0603,3,15k,x,,,
43,"R107,R109,R110,R111,R501,R601,R602,R603,R114,R607,R608",R_0603,11,1k,x,,,
44,"R112,R203,R804,R805,R806,R1002",R_0603,6,100k,x,,,
45,R201,R_0603,1,68k1,x,,,
46,R202,R_0603,1,11k8,x,,,
47,R204,R_0603,1,5k62,x,,,
48,R205,R_0603,1,1k07,x,,,
49,"R301,R302",R_0603,2,470,x,,,
50,R303,R_0603,1,150k,x,,,
51,R506,R_0603,1,50k,x,,,
52,R507,R_1812_HandSoldering,1,0.05,x,,,
53,"R604,R605,R606",R_0603,3,3k,x,,,
54,R1001,R_0603,1,140k,x,,,
55,R1003,R_0603,1,4k7,x,,,
56,R1004,R_0603,1,2R,x,,,
57,"R1101,R1102,R1103,R1104,R1105,R1106,R1107,R1108,R1109,R1110,R1111,R1112,R1113,R1114,R1115,R1116",R_0603,16,47k,x,,,
58,U102,SOIC-16_3.9x9.9mm_Pitch1.27mm,1,DS26LV32AT,x,,,
59,U201,7TO-PMOD,1,LMZ14203,x,,,
60,U301,SOT-23,1,LM3480-12,x,,,
61,U302,HSSOP-36,1,DRV8332,x,,,
62,"U303,U801,U802,U803",SOIC-8_3.9x4.9mm_Pitch1.27mm,4,ACS711,x,ACS725LLCTR-10AU-T,,10A unidirektional
63,U501,TSSOP-16-1EP_4.4x5mm_Pitch0.65mm,1,LTC4010,x,,,
64,"U601,U602,U603",SOP-4,3,PC3H7,x,,,
65,U701,SOIC-14_3.9x8.7mm_Pitch1.27mm,1,MAX13432EESD,x,,,
66,U901,TSSOP-20_4.4x6.5mm_Pitch0.65mm,1,AD7928,x,,,
67,U902,SOT-23,1,REF3025,x,,,
68,U1001,MSOP-10-1EP_3x3mm_Pitch0.5mm,1,LT3592,x,,,
69,"U1101,U1102",TSSOP-14_4.4x5mm_Pitch0.65mm,2,LMV324,x,,,
70,C103,C_0805,1,1µ,x,,,
71,L101,L_Coilcraft_1583_Handsoldering,1,Coilcraft MSS1583-474,x,,,
72,L501,L_Coilcraft_XAL60xx_Handsoldering,1,Coilcraft XAL6060-822,x,,,
73,L1001,L_Coilcraft_XAL40xx_Handsoldering,1,Coilcraft XAL4040-103,x,,,
74,U101,SOT-223,1,LM1117-3.3,x,,,
75,"J112,J113,J114,J115,J116,J117,J118",MountingHole_3.2mm_M3_Pad,7,M3,n,,,
76,"R115,R116,R117,R118,R119,R120,R121",R_0603,7,NC,n,,,
77,"FL701,FL702",WE-SL2,2,CMC,x,WE 744228,,
78,"C319,C804,C805,C806",C_0603,4,1n,x,,,
79,"R122,R123,R124",R_0603,3,0,x,,,
80,J101,DB15MD,1,RXSM experiment connector,,,,
81,J103,DB9FD,1,Cameraboard,,,,
82,J104,DB15FD,1,BLDC Motor,,,,
83,J810,MountingHole_3.2mm_M3_Pad_Via,1,HP1,n,,,
84,J811,MountingHole_3.2mm_M3_Pad_Via,1,HP2,n,,,
85,J812,MountingHole_3.2mm_M3_Pad_Via,1,HP3,n,,,
86,"C110,C111,C112,C113,C114,C115,C116,C117",C_0603,8,10n,x,,,
87,D101,LED_0603,1,RX-PW,x,Green,,
88,D102,LED_0603,1,RX-CHG,x,Red,,
89,D103,LED_0603,1,BAT,x,Blue,,
90,D801,LED_0603,1,HP1,x,Yellow,,
91,D802,LED_0603,1,HP2,x,Yellow,,
92,D803,LED_0603,1,HP3,x,Yellow,,
93,R127,R_0603,1,4k,x,,,
94,TP101,Measurement_Point_Round-SMD-Pad_Small,1,28V,n,,,
95,TP102,Measurement_Point_Round-SMD-Pad_Small,1,CHG,n,,,
96,TP103,Measurement_Point_Round-SMD-Pad_Small,1,+5V,n,,,
97,TP104,Measurement_Point_Round-SMD-Pad_Small,1,+3V3,n,,,
98,"TP105,TP106",Measurement_Point_Round-SMD-Pad_Small,2,GND,n,,,
99,TP107,Measurement_Point_Round-SMD-Pad_Small,1,HP3C,n,,,
100,TP108,Measurement_Point_Round-TH_Small,1,GND,n,,,
101,TP109,Measurement_Point_Round-SMD-Pad_Small,1,HP2C,n,,,
102,TP110,Measurement_Point_Round-SMD-Pad_Small,1,HP1C,n,,,
103,TP111,Measurement_Point_Round-SMD-Pad_Small,1,V_MOTOR,n,,,
104,TP112,Measurement_Point_Round-SMD-Pad_Small,1,MOTORC,n,,,
